09:40:37.554 [main] [34mINFO [0;39m c.t.e.EmployeeServiceApplication [employee-management] - Starting EmployeeServiceApplication using Java 11.0.11 on igor-virtual-machine with PID 76825 (/home/igor/Documents/project/godel/java-mastery/employee-service/target/classes started by igor in /home/igor/Documents/project/godel/java-mastery)
09:40:37.559 [background-preinit] [34mINFO [0;39m o.h.validator.internal.util.Version [employee-management] - HV000001: Hibernate Validator 6.2.3.Final
09:40:37.557 [main] [34mINFO [0;39m c.t.e.EmployeeServiceApplication [employee-management] - No active profile set, falling back to 1 default profile: "default"
09:40:39.530 [main] [34mINFO [0;39m o.s.d.r.c.RepositoryConfigurationDelegate [employee-management] - Multiple Spring Data modules found, entering strict repository configuration mode!
09:40:39.531 [main] [34mINFO [0;39m o.s.d.r.c.RepositoryConfigurationDelegate [employee-management] - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
09:40:39.552 [main] [34mINFO [0;39m o.s.d.r.c.RepositoryConfigurationExtensionSupport [employee-management] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.tarigor.employeeservice.repository.EmployeeRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
09:40:39.553 [main] [34mINFO [0;39m o.s.d.r.c.RepositoryConfigurationExtensionSupport [employee-management] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.tarigor.employeeservice.repository.EmployeeRepositorySpec. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
09:40:39.554 [main] [34mINFO [0;39m o.s.d.r.c.RepositoryConfigurationDelegate [employee-management] - Finished Spring Data repository scanning in 19 ms. Found 0 JDBC repository interfaces.
09:40:39.565 [main] [34mINFO [0;39m o.s.d.r.c.RepositoryConfigurationDelegate [employee-management] - Multiple Spring Data modules found, entering strict repository configuration mode!
09:40:39.566 [main] [34mINFO [0;39m o.s.d.r.c.RepositoryConfigurationDelegate [employee-management] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
09:40:39.609 [main] [34mINFO [0;39m o.s.d.r.c.RepositoryConfigurationDelegate [employee-management] - Finished Spring Data repository scanning in 39 ms. Found 2 JPA repository interfaces.
09:40:39.889 [main] [34mINFO [0;39m o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [employee-management] - Bean 'appConfiguration' of type [com.tarigor.employeeservice.config.AppConfiguration$$EnhancerBySpringCGLIB$$905e0eb5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09:40:40.218 [main] [34mINFO [0;39m o.s.b.w.e.tomcat.TomcatWebServer [employee-management] - Tomcat initialized with port(s): 8080 (http)
09:40:40.227 [main] [34mINFO [0;39m o.a.coyote.http11.Http11NioProtocol [employee-management] - Initializing ProtocolHandler ["http-nio-8080"]
09:40:40.228 [main] [34mINFO [0;39m o.a.catalina.core.StandardService [employee-management] - Starting service [Tomcat]
